Notes,Score,Links or Evidence,
Video,3,Functionality Video in the Github Repo --> https://github.com/TommasU/slash,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",2,Fairly equitable distribution of work,
Number of commits,3,438 commits.,
Number of commits: by different people,2,Not equal number of commits but number of commits don't really reflect actual work.,"55 themrshubh
53 AnmolikaGoyal
39 rahil1304
30 annie0467
29 antgad
29 pratikdevnani
26 TommasU
25 moksh98
19 pncnmnp
19 sskarra1234
15 shubhangij12
15 srujanarao
9 secheaper
8 rdeodha
4 radhikatoravi
2 SN-18
2 ranjitha105
2 myNameArnav"
Issues reports: there are many,3,Relatively fewer issues posted at https://github.com/TommasU/slash/issues?q=is%3Aissue+is%3Aclosed,
Issues are being closed,3,"All issues are closed, posted at https://github.com/TommasU/slash/issues?q=is%3Aissue+is%3Aclosed",
DOI badge: exists,3,https://zenodo.org/record/5739350,
"Docs: doco generated, format not ugly",3,Well written docs with proper explanation of installation steps and differentiating between mini version and full version of the application,
Docs: what: point descriptions of each class/function (in isolation),3,Great information related to the setup stuff and what they have implemented using the command line arguments.,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,There are only several commands to explore functionalities of the app but not all are mentioned in the docs file.,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,Explanation of use cases and motivation behind building this project was a plus point which induced interest.,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Animated videos added in the repository to induce interest in people to pursue this project,
Use of version control tools,3,Git is used,
Use of style checkers,3,Use of Python Style Checker has ensured the styling --> https://github.com/TommasU/slash/actions/workflows/style_checker.yml,
Use of code formatters.,3,Use of Pylint --> https://github.com/TommasU/slash/actions/workflows/pylint.yml,
Use of syntax checkers.,3,Pylint is also responsible for syntax checking,
Use of code coverage,3,https://app.codecov.io/gh/TommasU/slash,
Other automated analysis tools,0,No other automated tool has been used,
Test cases exist,3,Extensive tests have been conducted --> https://github.com/TommasU/slash/tree/main/tests,
Test cases are routinely executed,3,https://github.com/TommasU/slash/tree/main/.github/workflows,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/TommasU/slash/blob/main/CONTRIBUTING.md,
Issues are discussed before they are closed,3,https://github.com/TommasU/slash/issues?q=is%3Aissue+is%3Aclosed,
Chat channel: exists,0,Couldn't find in the docs,
