Notes,Score,Links or Evidence,
Video,,,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",2,Fairly equitable distribution of work,
Number of commits,3,205+ commits,
Number of commits: by different people,2,Not equal number of commits but number of commits don't really reflect actual work.,"25 AtharvaJ10
23 KeertanaVellanki
20 atharva1996
10 setu1421
10 vaish68
9 ConorThomason
8 muntasirhoq
8 Banpreet123
8 shivam-pednekar
7 Sahil-Nande
3 urmi6899
1 leanneserrao"
Issues reports: there are many,2,There are 15 issues in total out of which 7 were closed and 8 are still open https://github.com/Team-Glare/calorieApp_server/issues?q=is%3Aopen+is%3Aissue,
Issues are being closed,1,More than 50% of the issues are still open,
DOI badge: exists,3,https://zenodo.org/record/5721857,
"Docs: doco generated, format not ugly",2,"Readme is well written but was expecting documents like UML diags and architecture in a docs folder,PS they haven't named the files properly",
Docs: what: point descriptions of each class/function (in isolation),3,"Great description for each and every function, they made sure that each and every func gets covered
",
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,"There are videos describing the use cases in the Readme.MD, but would have been better if there would be a separate folder for those use case videos and a reference for it in the readme file",
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,Induces interest and sells the product,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,"Animated video showcasing but can add gifs instead of those playable videos, GIFs would look cool",
Use of version control tools,3,Git is used,
Use of style checkers,3,use of ESLint https://github.com/apurva-s/polly/blob/main/images/eslint_in_action.jpeg,
Use of code formatters.,2,"https://github.com/apurva-s/polly/blob/main/frontend/.prettierrc.json, https://github.com/apurva-s/polly/blob/main/backend/.eslintrc.json, ",
Use of syntax checkers.,2,"https://github.com/apurva-s/polly/blob/main/backend/.eslintrc.json, ",
Use of code coverage,3,", https://github.com/apurva-s/polly/tree/main/backend/coverage",
Other automated analysis tools,0,https://github.com/Team-Glare/calorieApp_server/actions,
Test cases exist,1,We can see in the commit messaages that unit test cases are added but can't really see other test cases or information about them,
Test cases are routinely executed,0,Aint able to see if testcases are routinely executed or not https://github.com/Team-Glare/calorieApp_server/tree/main/.github/workflows,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/Team-Glare/calorieApp_server/blob/main/CONTRIBUTING.md,
Issues are discussed before they are closed,3,https://github.com/Team-Glare/calorieApp_server/issues/13,
Chat channel: exists,NA,Couldn't find in the docs,
Test cases: a large proportion of the issues related to handling failing cases.,NA,"We can see some of the issues are solved but we don't exactly know whether they are the failed test cases or not, as we can't find any information on the test cases",
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,Using github to make the tool platform independent,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,yes there are multiple people commiting in the code base,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",0,no evidence for this,
Evidence that the members of the team are working across multiple places in the code base,2,"Everyone has contributed to the code, config & docs.",
Short release cycles,3,https://github.com/Team-Glare/calorieApp_server/tags,
"1.1 Does your website and documentation provide a clear, high-level overview of your software?",Y,https://github.com/Team-Glare/calorieApp_server#burnout,
1.2: Does your website and documentation clearly describe the type of user who should use your software?,N,They haven't mentioned the user audience explicitly as such but we are guessing it would be for fitness enthusiasts,
1.3: Do you publish case studies to show how your software has been used by yourself and others?,N,,
2.1: Is the name of your project/software unique?,Y,The name gives an idea of what the project will do,
2.2: Is your project/software name free from trademark violations?,Y,No violations **,
3.1: Is your software available as a package that can be deployed without building it?,N,,
3.2: Is your software available for free?,Y,,
"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,,
"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,yes GH,
4.1: Is your documentation clearly available on your website or within your software?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/README.md,
"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,https://github.com/Team-Glare/calorieApp_server/blob/main/README.md#implementation,
"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,It gives instructions on how to run it locally and also provides details about the functions used in backend,
"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Y,Detailed description of the backend APIs,
4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,No information as such,
"4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N,No information as such,
4.7: Do you store your documentation under revision control with your source code?,Y,,
"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Y,https://github.com/Team-Glare/calorieApp_server/tags,
5.1: Does your software describe how a user can get help with using your software?,N,,
"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Y,The repo is open to QnA,
5.3: Does your project have an e-mail address or forum that is solely for supporting users?,N,,
5.4: Are e-mails to your support e-mail address received by more than one person?,Y,,
5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Y,Github project board,
"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,https://github.com/Team-Glare/calorieApp_server/projects?type=classic,
6.1: Is your software’s architecture and design modular?,Y,,
6.2: Does your software use an accepted coding standard or convention?,Y,,
"7.1: Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Y,,
"7.2: Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",N,,
8.1: Is your software cross-platform compatible?,Y,It's a website,
9.1: Does your software adhere to appropriate accessibility conventions or standards?,Y,,
9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Y,,
10.1: Is your source code stored in a repository under revision control?,Y,Several tags,
10.2: Is each source code release a snapshot of the repository?,Y,,
10.3: Are releases tagged in the repository?,Y,https://github.com/Team-Glare/calorieApp_server/tags,
"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",N,Couldn't find as such,
10.5: Do you back-up your repository,Y,Several branches and forks are found,
11.1: Do you provide publicly-available instructions for building your software from the source code?,Y,https://github.com/Team-Glare/calorieApp_server#steps-for-execution,
"11.2: Can you build, or package, your software using an automated tool?",N,Nothing mentioned as such,
11.3: Do you provide publicly-available instructions for deploying your software?,N,,
11.4: Does your documentation list all third-party dependencies?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/requirements.txt,
11.5: Does your documentation list the version number for all third-party dependencies?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/requirements.txt,
"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",N,,
11.7: Can you download dependencies using a dependency management tool or package manager?,Y,We can download all the dependecies by simply running pip install -r requirements.txt,
11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,N,,
12.1: Do you have an automated test suite for your software?,N,,
12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,N,,
"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Y,https://github.com/Team-Glare/calorieApp_server/tree/main/.github/workflows,
12.4: Are your test results publicly visible?,N,,
12.5: Are all manually-run tests documented?,N,,
"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",N,,
13.2: Does your website state how many projects and users are associated with your project?,Y,https://github.com/Team-Glare/calorieApp_server/graphs/contributors,
13.3: Do you provide success stories on your website?,N,,
13.4: Do you list your important partners and collaborators on your website?,N,,
13.5: Do you list your project's publications on your website or link to a resource where these are available?,N,,
13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N,,
13.7: Can users subscribe to notifications to changes to your source code repository?,Y,They can star the repo on github,
"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Y,"https://github.com/Team-Glare/calorieApp_server/blob/main/CONTRIBUTING.md, https://github.com/Team-Glare/calorieApp_server/blob/main/LICENSE",
"14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,https://github.com/Team-Glare/calorieApp_server/blob/main/CONTRIBUTING.md,
14.2: Do you have a contributions policy?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/CONTRIBUTING.md,
14.3: Is your contributions' policy publicly available?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/CONTRIBUTING.md,
14.4: Do contributors keep the copyright/IP of their contributions?,N,,
15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,N,But not necessary as present in the LICENSE file,
15.2: Does each of your source code files include a copyright statement?,N,But not necessary as present in the LICENSE file,
15.3: Does your website and documentation clearly state the licence of your software?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/LICENSE,
15.4: Is your software released under an open source licence?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/LICENSE,
15.5: Is your software released under an OSI-approved open-source licence?,Y,MIT License is used which is OSI approved,
15.6: Does each of your source code files include a licence header?,N,But not needed for the license used,
15.7: Do you have a recommended citation for your software?,Y,https://github.com/Team-Glare/calorieApp_server/blob/main/CITATION.md,
"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",N,,
"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,,
"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",N,,
