Notes,Score,Links or Evidence,
Video,3,There are two videos. Link to video -> https://github.com/Pratyush1184/application-tracking-system,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",2,"Most people worked equally, though some put little work",
Number of commits,3,299 commits -> https://github.com/Pratyush1184/application-tracking-system/graphs/contributors,
Number of commits: by different people,2,Not equal number of commits shown in -> https://github.com/Pratyush1184/application-tracking-system/graphs/contributors,
Issues reports: there are many,2,Good amount of issues for the project. Maybe a little low. https://github.com/Pratyush1184/application-tracking-system/issues,
Issues are being closed,1,Most issues are not closed -> https://github.com/Pratyush1184/application-tracking-system/issues,
DOI badge: exists,3,https://zenodo.org/record/5759265,
"Docs: doco generated, format not ugly",3,README looks good. Several pdf files for documentation that looks good.,
Docs: what: point descriptions of each class/function (in isolation),2,Decent description for backend. Could explain a bit more.,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,There a video for a demo of the application. https://github.com/Pratyush1184/application-tracking-system/blob/main/Phase_3_demo.mp4,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",0,Could not find motivation.,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",0,No video for future developers.,
Use of version control tools,3,Git version control used,
Use of style checkers,0,Cannot find style checker,
Use of code formatters.,3,Super linter is used as a code formatter,
Use of syntax checkers.,0,Cannot find syntax checker,
Use of code coverage,3,Code coverage 65% in bling.,
Other automated analysis tools,0,No other analysis tools seem to be used. Lack of config file to verify.,
Test cases exist,3,https://github.com/Pratyush1184/application-tracking-system/blob/main/backend/test_app.py,
Test cases are routinely executed,1,Cannot determine routinely run.,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/Pratyush1184/application-tracking-system/blob/main/Contributing.md,
Issues are discussed before they are closed,1,There is little discussion before closing issues. https://github.com/Pratyush1184/application-tracking-system/issues?q=is%3Aissue+is%3Aclosed,
Chat channel: exists,0,No evidence for this in repo,
Test cases: a large proportion of the issues related to handling failing cases.,3,Large portion associates with tests. https://github.com/Pratyush1184/application-tracking-system/issues,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,There is very little evidence for this.,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",0,No evidence for this,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",0,No evidence for this,
Evidence that the members of the team are working across multiple places in the code base,3,"Based on the branches, it seems that group members worked equally. https://github.com/Pratyush1184/application-tracking-system/branches",
Short release cycles,0,There is only one release. https://github.com/Pratyush1184/application-tracking-system/releases/tag/2.0,
"1.1 Does your website and documentation provide a clear, high-level overview of your software?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md,
1.2: Does your website and documentation clearly describe the type of user who should use your software?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Software%20Documentation.pdf,
1.3: Do you publish case studies to show how your software has been used by yourself and others?,N,No content for this.,
2.1: Is the name of your project/software unique?,N,https://www.jobscan.co/applicant-tracking-systems,
2.2: Is your project/software name free from trademark violations?,Y,No violations,
3.1: Is your software available as a package that can be deployed without building it?,Y,It uses Flask and Nodejs to run application. https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md,
3.2: Is your software available for free?,Y,We can easily use it,
"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,We can easily download it,
"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,"yes, it is on GitHub",
4.1: Is your documentation clearly available on your website or within your software?,Y,The documentation is within the repo,
"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Demo%20Video.mp4,
"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md,
"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Y,Detailed description of the backend APIs,
4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,Nothing for troubleshooting or errors,
"4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Software%20Documentation.pdf,
4.7: Do you store your documentation under revision control with your source code?,Y,Stored in repo,
"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",N,No evidence of this.,
5.1: Does your software describe how a user can get help with using your software?,N,No contact info for this.,
"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Y,"At the bottom of readme.md, it states that people can raise issues on the repo. https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md",
5.3: Does your project have an e-mail address or forum that is solely for supporting users?,N,No evidence.,
5.4: Are e-mails to your support e-mail address received by more than one person?,N,No support email,
5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Y,https://github.com/Pratyush1184/application-tracking-system/projects/1,
"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,https://github.com/Pratyush1184/application-tracking-system/projects/1,
6.1: Is your software’s architecture and design modular?,Y,Yes frontend resources are divided into components and backend is separated according to functionality,
6.2: Does your software use an accepted coding standard or convention?,Y,They use Super Linter,
"7.1: Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Y,"https://github.com/Pratyush1184/application-tracking-system/tree/main/backend/data, https://github.com/Pratyush1184/application-tracking-system/tree/main/frontend/src/data",
"7.2: Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",N,No evidence of this.,
8.1: Is your software cross-platform compatible?,Y,It's an application run through local network with Flask.,
9.1: Does your software adhere to appropriate accessibility conventions or standards?,Y,Application is easy to read and use for anyone.,
9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Y,It is easy to read.,
10.1: Is your source code stored in a repository under revision control?,N,No evidence of this.,
10.2: Is each source code release a snapshot of the repository?,N,No evidence of this.,
10.3: Are releases tagged in the repository?,N,No evidence of this.,
"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Y,https://github.com/Pratyush1184/application-tracking-system/network,
10.5: Do you back-up your repository,Y,There are many forks for this project.,
11.1: Do you provide publicly-available instructions for building your software from the source code?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md,
"11.2: Can you build, or package, your software using an automated tool?",N,No evidence for this,
11.3: Do you provide publicly-available instructions for deploying your software?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/readme.md,
11.4: Does your documentation list all third-party dependencies?,N,You have to search through the repo for dependencies like in package-lock.json and requirements.txt,
11.5: Does your documentation list the version number for all third-party dependencies?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/requirements.txt,
"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",N,No evidence of this.,
11.7: Can you download dependencies using a dependency management tool or package manager?,N,There is no tool for this.,
11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,N,No evidence for this,
12.1: Do you have an automated test suite for your software?,N,No evidence for this.,
12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,N,No evidence for periodic tests,
"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Y,There is evidence for this. https://github.com/Pratyush1184/application-tracking-system/blob/main/.github/workflows/frontend_CI_CD.yml,
12.4: Are your test results publicly visible?,N,No evidence of test results,
12.5: Are all manually-run tests documented?,N,Cannot find manually run tests,
"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",N,No regular updates,
13.2: Does your website state how many projects and users are associated with your project?,N,No explicit information in the documentation,
13.3: Do you provide success stories on your website?,N,No stories.,
13.4: Do you list your important partners and collaborators on your website?,N,No explicit information in the documentation,
